iterations,currBestLength,bestLength,nBestPathAnts,nBestCurrentPathAnts,apha,beta,rho,Q,sigma,nAnts,nCities,pheremonesDiversity,hammingDistance2,diversityOfLength
22,246.259319424629,236.830490231514,0,0,1,2,0.7,50,20,20,48,0.0519163310949739,32.6631578947368,27.6579789782972
23,223.507471442223,223.507471442223,0,0,1,2,0.7,50,20,20,48,0.441857754269331,28.4368421052632,20.7231937617095
24,230.674963593483,223.507471442223,0,0,1,2,0.7,50,20,20,48,1.00438682419367,27.0052631578947,19.7329426175846
25,221.723453164101,221.723453164101,0,0,1,2,0.7,50,20,20,48,9.04603615617117,24.7473684210526,0
26,226.551099896431,221.723453164101,0,0,1,2,0.7,50,20,20,48,9.10782483984215,23.5105263157895,0
27,229.937283635139,221.723453164101,0,0,1,2,0.7,50,20,20,48,9.22206880857696,24.7473684210526,0
28,230.743130803108,221.723453164101,0,0,1,2,0.7,50,20,20,48,9.10281942840723,23.5105263157895,0
29,232.261011242867,221.723453164101,0,0,1,2,0.7,50,20,20,48,9.0409958171547,19.5526315789474,0
30,225.034954667091,221.723453164101,0,0,1,2,0.7,50,20,20,48,9.17303649383624,24.7473684210526,0
31,242.376538395882,221.723453164101,0,0,1,2,0.7,50,20,20,48,9.16527719313669,25.7368421052632,0
32,221.633198142052,221.633198142052,0,0,1,2,0.7,50,20,20,48,6.8115113131399,25.2315789473684,12.9435366375456
33,231.514342427254,221.633198142052,0,0,1,2,0.7,50,20,20,48,9.13489497832084,25.4894736842105,0
34,231.514342427254,221.633198142052,0,0,1,2,0.7,50,20,20,48,9.12912109536307,25.4894736842105,0
35,225.901071190834,221.633198142052,0,0,1,2,0.7,50,20,20,48,9.09369590052447,25.4894736842105,0
36,223.573373436928,221.633198142052,0,0,1,2,0.7,50,20,20,48,9.15022999877351,25.4894736842105,0
37,231.514342427254,221.633198142052,0,0,1,2,0.7,50,20,20,48,9.25811253384478,25.7368421052632,0
38,218.011866688728,218.011866688728,20,0,1,2,0.7,50,20,20,48,9.10743456793958,23.5105263157895,0
39,226.551099896431,218.011866688728,20,0,1,2,0.7,50,20,20,48,0.0232700852143767,23.5105263157895,0
40,226.718208432198,218.011866688728,6,0,1,2,0.7,50,20,20,48,0.0188175414615077,28.4473684210526,19.099060757877
41,223.434555411339,218.011866688728,7,0,1,2,0.7,50,20,20,48,0.0391472576637201,23.0789473684211,26.0188767052637
42,222.315282940865,218.011866688728,1,0,1,2,0.7,50,20,20,48,0.0214470129969632,26.9842105263158,20.0031260226898
43,229.937283635139,218.011866688728,2,0,1,2,0.7,50,20,20,48,0.0132675242263315,30.1684210526316,23.6018011397
44,242.922365546227,218.011866688728,0,0,1,2,0.7,50,20,20,48,0.0126928111084475,30.8263157894737,22.3664704463268
45,232.825499534607,218.011866688728,0,0,1,2,0.7,50,20,20,48,0.0120234055838388,31.1421052631579,28.987967283259
46,220.046104073524,218.011866688728,0,0,1,2,0.7,50,20,20,48,0.0113989474214698,32.0842105263158,24.6083964650949
47,244.203154444695,218.011866688728,0,0,1,2,0.7,50,20,20,48,0.0107617334834609,32.2578947368421,23.8748557577153
48,234.348175883293,218.011866688728,0,0,1,2,0.7,50,20,20,48,0.01268543647133,32.6,23.6402322567394
49,254.512385725975,218.011866688728,0,0,1,2,0.7,50,20,20,48,0.0095780721054269,33.0263157894737,29.3332889404205
