sigma,rho,Q,bestLength
1,0.1,15,434.805839031935
1,0.1,15,455.038202643394
1,0.1,15,447.020860165358
1,0.15,15,474.01689606905
1,0.15,15,440.695655763149
1,0.15,15,476.459534883499
1,0.2,15,423.154451012611
1,0.2,15,437.99428331852
1,0.2,15,456.294889807701
1,0.25,15,457.696470618248
1,0.25,15,472.199711382389
1,0.25,15,427.527292728424
1,0.3,15,463.78966358304
1,0.3,15,447.609014749527
1,0.3,15,439.3850081563
1,0.35,15,470.379992246628
1,0.35,15,460.192143976688
1,0.35,15,455.568378448486
1,0.4,15,451.33714568615
1,0.4,15,457.662014961243
1,0.4,15,462.191323399544
1,0.45,15,437.437658190727
1,0.45,15,463.169757395983
1,0.45,15,447.577094912529
1,0.5,15,436.08959621191
1,0.5,15,461.859063535929
1,0.5,15,461.042028188705
1,0.55,15,446.577041506767
1,0.55,15,466.396768957376
1,0.55,15,456.478215932846
1,0.6,15,434.212913781405
1,0.6,15,430.215675145388
1,0.6,15,429.445931315422
1,0.65,15,416.86297416687
1,0.65,15,418.493317514658
1,0.65,15,464.308013319969
1,0.7,15,426.716725349426
1,0.7,15,431.244690537453
1,0.7,15,403.486338049173
1,0.75,15,427.747757911682
1,0.75,15,452.58323174715
1,0.75,15,455.205394625664
1,0.8,15,402.121173024178
1,0.8,15,414.134971022606
1,0.8,15,386.989617735147
1,0.85,15,312.641649752855
1,0.85,15,349.706308573484
1,0.85,15,335.959865033627
1,0.9,15,195.423192828894
1,0.9,15,200.236262500286
1,0.9,15,202.002938330173
1,0.95,15,177.311169415712
1,0.95,15,183.773393899202
1,0.95,15,172.610053271055
1,0.05,20,433.591406047344
1,0.05,20,431.512630820274
1,0.05,20,407.249014317989
1,0.1,20,435.162058234215
1,0.1,20,456.622923612595
1,0.1,20,448.138395130634
1,0.15,20,406.288612753153
1,0.15,20,456.010304570198
1,0.15,20,464.101897597313
1,0.2,20,456.991671830416
1,0.2,20,422.510290026665
1,0.2,20,466.319904357195
1,0.25,20,467.030034840107
1,0.25,20,460.717602968216
1,0.25,20,455.269049406052
1,0.3,20,452.40844720602
1,0.3,20,447.605618268251
1,0.3,20,466.408693194389
1,0.35,20,460.953430891037
1,0.35,20,433.770913720131
1,0.35,20,451.015105605125
1,0.4,20,445.948533654213
1,0.4,20,462.247960925102
1,0.4,20,437.450282037258
1,0.45,20,421.982028484344
1,0.45,20,424.983536422253
1,0.45,20,439.067027598619
1,0.5,20,426.753870636225
1,0.5,20,423.156031847
1,0.5,20,429.752271056175
1,0.55,20,425.984061509371
1,0.55,20,431.710232883692
1,0.55,20,445.185653209686
1,0.6,20,459.432356745005
1,0.6,20,427.302027285099
1,0.6,20,402.259957879782
1,0.65,20,402.829451560974
1,0.65,20,429.981690227985
1,0.65,20,431.709441006184
1,0.7,20,432.421781718731
1,0.7,20,396.458706349134
1,0.7,20,402.858337432146
1,0.75,20,385.086744487286
1,0.75,20,341.009744346142
1,0.75,20,364.746072441339
1,0.8,20,311.581579655409
1,0.8,20,310.479053586721
1,0.8,20,328.89168176055
1,0.85,20,271.628423660994
1,0.85,20,235.309098541737
1,0.85,20,221.83406278491
1,0.9,20,172.096772074699
1,0.9,20,191.509344547987
1,0.9,20,200.101031035185
1,0.95,20,195.413014024496
1,0.95,20,178.744892984629
1,0.95,20,161.255977392197
1,0.05,25,443.063509255648
1,0.05,25,452.28004348278
1,0.05,25,451.123471975327
1,0.1,25,445.854175925255
1,0.1,25,428.182315945625
1,0.1,25,429.798650562763
1,0.15,25,458.905588269234
1,0.15,25,427.414977669716
1,0.15,25,442.284403055906
1,0.2,25,438.030256032944
1,0.2,25,412.451748251915
1,0.2,25,444.861123263836
1,0.25,25,427.621946960688
1,0.25,25,465.438093900681
1,0.25,25,432.932442069054
1,0.3,25,409.503581523895
1,0.3,25,459.270864546299
1,0.3,25,438.79876935482
1,0.35,25,462.782563924789
1,0.35,25,424.923398256302
1,0.35,25,438.717578560114
1,0.4,25,438.196186125278
1,0.4,25,432.575986027718
1,0.4,25,449.440561890602
1,0.45,25,430.417882204056
1,0.45,25,451.059065818787
1,0.45,25,419.090340405703
1,0.5,25,420.976496964693
1,0.5,25,447.876723587513
1,0.5,25,411.371142655611
1,0.55,25,426.459580719471
1,0.55,25,416.960096120834
1,0.55,25,399.718806028366
1,0.6,25,427.315918445587
1,0.6,25,435.530138492584
1,0.6,25,417.273444354534
1,0.65,25,385.968536823988
1,0.65,25,409.270675480366
1,0.65,25,412.759016990662
1,0.7,25,407.257944434881
1,0.7,25,348.975976705551
1,0.7,25,394.157641768456
1,0.75,25,269.619093924761
1,0.75,25,294.433459728956
1,0.75,25,358.291530698538
1,0.8,25,257.495266854763
1,0.8,25,250.074046939611
1,0.8,25,250.929168522358
1,0.85,25,188.437879741192
1,0.85,25,202.318979650736
1,0.85,25,194.859615772963
1,0.9,25,187.349416673183
1,0.9,25,182.764824211597
1,0.9,25,214.845256477594
1,0.95,25,173.790358752012
1,0.95,25,164.748890042305
1,0.95,25,174.660324960947
1,0.05,30,462.122121214867
1,0.05,30,427.568203687668
1,0.05,30,418.534259498119
1,0.1,30,428.187513947487
1,0.1,30,425.102821469307
1,0.1,30,437.952073812485
1,0.15,30,440.488629937172
1,0.15,30,456.790367335081
1,0.15,30,437.771751642227
1,0.2,30,431.042757451534
1,0.2,30,442.289184361696
1,0.2,30,425.830343008041
1,0.25,30,451.372961580753
1,0.25,30,410.37702190876
1,0.25,30,427.207674413919
1,0.3,30,407.81752845645
1,0.3,30,443.662408739328
1,0.3,30,429.643221408129
1,0.35,30,445.440311789513
1,0.35,30,434.398681521416
1,0.35,30,404.972236871719
1,0.4,30,427.055401325226
1,0.4,30,436.697376400232
1,0.4,30,371.085215091705
1,0.45,30,395.853005588055
1,0.45,30,432.339031219482
1,0.45,30,415.829293310642
1,0.5,30,419.280522465706
1,0.5,30,358.043566524982
1,0.5,30,409.174729526043
1,0.55,30,370.585619866848
1,0.55,30,363.69440561533
1,0.55,30,396.266411066055
1,0.6,30,397.430062949657
1,0.6,30,367.226772487164
1,0.6,30,362.852420270443
1,0.65,30,341.793365091085
