sigma,rho,Q,bestLength
1,0.35,85,291.546951681376
1,0.35,85,339.970400750637
1,0.35,85,334.986938416958
1,0.4,85,335.239690124989
1,0.4,85,338.041815072298
1,0.4,85,307.250208944082
1,0.45,85,338.948849380016
1,0.45,85,340.336532354355
1,0.45,85,337.424855053425
1,0.5,85,312.096172213554
1,0.5,85,289.129563510418
1,0.5,85,272.708724915981
1,0.55,85,260.258392721415
1,0.55,85,254.370809495449
1,0.55,85,309.387684375048
1,0.6,85,267.510619133711
1,0.6,85,252.663602858782
1,0.6,85,273.307904809713
1,0.65,85,265.730176955462
1,0.65,85,261.52137619257
1,0.65,85,285.534756362438
1,0.7,85,212.262915074825
1,0.7,85,261.400934726
1,0.7,85,224.721192777157
1,0.75,85,204.228698432446
1,0.75,85,193.713466316462
1,0.75,85,234.23230856657
1,0.8,85,205.75482159853
1,0.8,85,211.441126793623
1,0.8,85,228.72469073534
1,0.85,85,196.258039087057
1,0.85,85,195.164804041386
1,0.85,85,208.142291456461
1,0.9,85,209.17421156168
1,0.9,85,217.055114716291
1,0.9,85,201.07212433219
1,0.95,85,197.612994402647
1,0.95,85,176.215974241495
1,0.95,85,200.029020249844
1,0.05,90,370.485903322697
1,0.05,90,390.555762946606
1,0.05,90,377.987701892853
1,0.1,90,395.831192851067
1,0.1,90,404.302597641945
1,0.1,90,403.936287432909
1,0.15,90,398.085358977318
1,0.15,90,371.925374269485
1,0.15,90,378.001249402761
1,0.2,90,377.397257596254
1,0.2,90,354.394059896469
1,0.2,90,376.675932914019
1,0.25,90,366.689891457558
1,0.25,90,376.509803920984
1,0.25,90,382.824770987034
1,0.3,90,351.608399599791
1,0.3,90,340.62217849493
1,0.3,90,393.658626079559
1,0.35,90,370.661329269409
1,0.35,90,339.622330695391
1,0.35,90,361.535212755203
1,0.4,90,304.782472848892
1,0.4,90,338.99696418643
1,0.4,90,290.129324197769
1,0.45,90,317.636368393898
1,0.45,90,299.089345395565
1,0.45,90,326.607545495033
1,0.5,90,309.6662106812
1,0.5,90,294.301312953234
1,0.5,90,267.990016400814
1,0.55,90,293.736412584782
1,0.55,90,272.244212925434
1,0.55,90,283.370358288288
1,0.6,90,261.023039788008
1,0.6,90,254.554077804089
1,0.6,90,291.001780688763
1,0.65,90,256.716505229473
1,0.65,90,229.331237971783
1,0.65,90,244.894492268562
1,0.7,90,231.821080625057
1,0.7,90,215.102417856455
1,0.7,90,232.266730993986
1,0.75,90,249.783474475145
1,0.75,90,226.742455482483
1,0.75,90,253.821258306503
1,0.8,90,190.554339468479
1,0.8,90,240.003328293562
1,0.8,90,238.861635893583
1,0.85,90,210.21701464057
1,0.85,90,212.999084562063
1,0.85,90,186.942020237446
1,0.9,90,202.80589684844
1,0.9,90,199.840803027153
1,0.9,90,196.621421158314
1,0.95,90,163.257543712854
1,0.95,90,165.24544814229
1,0.95,90,205.054747492075
1,0.05,95,355.591845035553
1,0.05,95,358.872162818909
1,0.05,95,387.56344717741
1,0.1,95,380.090040326118
1,0.1,95,369.72249519825
1,0.1,95,358.845852971077
1,0.15,95,386.93985041976
1,0.15,95,424.26103490591
1,0.15,95,396.339855194092
1,0.2,95,357.258258700371
1,0.2,95,363.805166363716
1,0.2,95,400.283564001322
1,0.25,95,360.616209059954
1,0.25,95,322.375497043133
1,0.25,95,357.387032747269
1,0.3,95,311.492145210505
1,0.3,95,363.477454185486
1,0.3,95,338.838644593954
1,0.35,95,328.067654430866
1,0.35,95,314.651163816452
1,0.35,95,349.411205470562
1,0.4,95,296.928744196892
1,0.4,95,328.671529650688
1,0.4,95,323.979794085026
1,0.45,95,303.017173528671
1,0.45,95,274.893645048141
1,0.45,95,333.770937025547
1,0.5,95,308.321985036135
1,0.5,95,271.563053876162
1,0.5,95,307.085277050734
1,0.55,95,276.499214291573
1,0.55,95,292.327475667
1,0.55,95,295.578894585371
1,0.6,95,280.624020159245
1,0.6,95,299.895543634892
1,0.6,95,293.304347425699
1,0.65,95,287.948321700096
1,0.65,95,257.628836035728
1,0.65,95,240.135978668928
1,0.7,95,271.170658797026
1,0.7,95,219.009922116995
1,0.7,95,249.665865063667
1,0.75,95,227.194048762321
1,0.75,95,214.002391338348
1,0.75,95,226.279076427221
1,0.8,95,224.648767948151
1,0.8,95,219.699226021767
1,0.8,95,198.731639772654
1,0.85,95,217.732054322958
1,0.85,95,218.048787117004
1,0.85,95,215.446490585804
1,0.9,95,203.988061845303
1,0.9,95,179.328195422888
1,0.9,95,186.332724869251
1,0.95,95,201.227798312902
1,0.95,95,205.108089566231
1,0.95,95,169.546869188547
